id,oldest_patch_commit,commit_date,vulnerable_commit,build,jdk_version
SECURITY-3135,3059161906e63eb3be7a9f7115a70437818b9116,2023-09-08 23:50:15,30540d76d308bb8b16dfe33b2731c33900d263fd,True,openjdk-21
SECURITY-3073,f06bb8820115996397a2e0010b003ecbf0570865,2023-09-06 07:17:31,df7c4ccda8976c06bf31b8fb9938f26fc38501ca,True,openjdk-21
SECURITY-3072,df7c4ccda8976c06bf31b8fb9938f26fc38501ca,2023-09-06 07:17:25,4bf648811f328961627f484349d40420d169cdd0,True,openjdk-21
SECURITY-3245,4bf648811f328961627f484349d40420d169cdd0,2023-09-06 07:17:19,b8ac8cd4c51511b9f844846ba80a8aed054288c5,True,openjdk-21
SECURITY-3261,b8ac8cd4c51511b9f844846ba80a8aed054288c5,2023-09-06 07:17:14,c3ebd9dc706897c281036671eed6851390f85ade,True,openjdk-21
SECURITY-3188,1b9f1ccdbb7d00705b036d1332908fe52c2cd7ae,2023-07-13 03:24:44,69202c5f3ba973de9176b1e2537f5ee06c4c202b,True,openjdk-21
SECURITY-3058,554587b06db553ce35fa362d7a0b0aef33a57afb,2023-02-23 02:59:19,d034626fd5290565f130f98adccd7ca519a2d10d,True,openjdk-19
SECURITY-2399,d034626fd5290565f130f98adccd7ca519a2d10d,2023-02-23 02:59:13,59ac866d9946d7c296023da0ea78baafd4cf71eb,True,openjdk-19
SECURITY-3037,59ac866d9946d7c296023da0ea78baafd4cf71eb,2023-02-23 02:59:06,b70f4cb5892bd6059a45b5f156f019ce572adb08,True,openjdk-19
SECURITY-3030,b70f4cb5892bd6059a45b5f156f019ce572adb08,2023-02-23 02:59:00,f39c11fa27b14923260c4c9b896f0f373e2a0a17,True,openjdk-19
SECURITY-2823,f39c11fa27b14923260c4c9b896f0f373e2a0a17,2023-02-23 02:58:53,40663588eea4ac953209bd8845b6b880792f92cc,True,openjdk-19
SECURITY-2120,40663588eea4ac953209bd8845b6b880792f92cc,2023-02-23 02:58:46,80452662b31ac6c9f4418cffae1af6af4daf479a,True,openjdk-19
SECURITY-1807,80452662b31ac6c9f4418cffae1af6af4daf479a,2023-02-23 02:58:40,a3f31145e621ab0072bb872ecac93a2c6cbcbaae,True,openjdk-19
SECURITY-2886,84f41d2921023374dedb7d6f12d47eaf7790b7eb,2022-09-21 02:33:46,6c69fa227cf95c8e6f406436bd2e6ea5896729d2,True,openjdk-17
SECURITY-2776,49c4cda2d41719d66a4eb4d6f9c31ba8298f2fbf,2022-06-08 23:46:29,37bd66a43ad561f670db7440f493d69518741d27,True,openjdk-17
SECURITY-2777,37bd66a43ad561f670db7440f493d69518741d27,2022-06-08 23:46:23,f71495a63f8b861e8ca3a5fcf5cc931fce55bc57,True,openjdk-17
SECURITY-2779,f71495a63f8b861e8ca3a5fcf5cc931fce55bc57,2022-06-08 23:46:16,8080ec48b864f0b363f79b46a70e55595efedcab,True,openjdk-17
